Artist,Title,Label
The Weeknd,Blinding Lights,1
Olivia Rodrigo,Good 4 U,1
Olivia Rodrigo,Drivers License,1
Lil Nas X,Montero (Call Me By Your Name),1
BTS,Butter,1
Olivia Rodrigo,Deja Vu,1
Ariana Grande,Positions,1
Ed Sheeran,Bad Habits,1
Luke Combs,Forever After All,1
Pop Smoke,What You Know Bout Love,1
Billie Eilish,Therefore I Am,1
Cardi B,Up,1
Lil Baby,On Me,1
Olivia Rodrigo,Traitor,1
BTS,Dynamite,1
Doja Cat,Need To Know,1
Taylor Swift,Willow,1
Luke Combs,Better Together,1
Doja Cat,Streets,1
Drake,What's Next,1
Roddy Ricch,Late At Night,1
Justin Bieber,Anyone,1
Ariana Grande,pov,1
The Weeknd,Take My Breath,1
Billie Eilish,Happier Than Ever,1
Post Malone,Circles,1
Roddy Ricch,The Box,1
Harry Styles,Adore You,1
Maroon 5,Memories,1
Doja Cat,Say So,1
Billie Eilish,Everything I Wanted,1
Harry Styles,Watermelon Sugar,1
The Weeknd,Heartless,1
DaBaby,BOP,1
Drake,Toosie Slide,1
Morgan Wallen,Chasin' You,1
Lil Baby,Woah,1
Travis Scott,HIGHEST IN THE ROOM,1
Billie Eilish,Bad Guy,1
Justin Bieber,Yummy,1
Lil Nas X,Panini,1
Lil Baby,Emotionally Scarred,1
Lil Baby,The Bigger Picture,1
Jonas Brothers,Only Human,1
Lil Baby,Sum 2 Prove,1
Halsey,You Should Be Sad,1
Pop Smoke,Dior,1
Luke Combs,Even Though I'm Leaving,1
Juice WRLD,Wishing Well,1
Morgan Wallen,More Than My Hometown,1
Luke Combs,Lovin' On You,1
Halsey,Without Me,1
Post Malone,Wow.,1
Ariana Grande,7 Rings,1
Khalid,Talk,1
Travis Scott,Sicko Mode,1
Jonas Brothers,Sucker,1
Ariana Grande,"Thank U, Next",1
Khalid,Better,1
DaBaby,Suge,1
Shawn Mendes,If I Can't Have You,1
Post Malone,Better Now,1
Ariana Grande,"Break Up With Your Girlfriend, I'm Bored",1
Cardi B,Money,1
Taylor Swift,You Need To Calm Down,1
Luke Combs,Beautiful Crazy,1
Juice WRLD,Lucid Dreams,1
Morgan Wallen,Whiskey Glasses,1
Luke Combs,Beer Never Broke My Heart,1
Billie Eilish,When The Party's Over,1
Ariana Grande,Breathin,1
Billie Eilish,Bury A Friend,1
Lil Baby,Close Friends,1
Sam Smith,How Do You Sleep?,1
P!nk,Walk Me Home,1
Juice WRLD,Robbery,1
Drake,God's Plan,1
Ed Sheeran,Perfect,1
Drake,In My Feelings,1
Drake,Nice For What,1
XXXTENTACION,Sad!,1
Camila Cabello,Never Be The Same,1
Ariana Grande,No Tears Left To Cry,1
Imagine Dragons,Thunder,1
Taylor Swift,Delicate,1
Halsey,Bad At Love,1
Imagine Dragons,Whatever It Takes,1
Post Malone,I Fall Apart,1
Shawn Mendes,In My Blood,1
Sam Smith,Too Good At Goodbyes,1
Drake,Nonstop,1
Cardi B,Bodak Yellow (Money Moves),1
Maroon 5,Wait,1
Cardi B,Be Careful,1
Ariana Grande,God Is A Woman,1
Khalid,Young Dumb & Broke,1
Imagine Dragons,Natural,1
Ed Sheeran,Shape Of You,1
The Weeknd,Call Out My Name,1
Drake,I'm Upset,1
XXXTENTACION,Moonlight,1
XXXTENTACION,Changes,1
Luke Combs,One Number Away,1
Imagine Dragons,Believer,1
Bruno Mars,That's What I Like,1
Kendrick Lamar,Humble.,1
Future,Mask Off,1
Bruno Mars,24K Magic,1
Khalid,Location,1
Shawn Mendes,There's Nothing Holdin' Me Back,1
Rihanna,Love On The Brain,1
Drake,Fake Love,1
Taylor Swift,Look What You Made Me Do,1
Ed Sheeran,Castle On The Hill,1
The Chainsmokers,Paris,1
Justin Timberlake,Can't Stop The Feeling!,1
Shawn Mendes,Mercy,1
twenty one pilots,Heathens,1
Halsey,Now Or Never,1
Kendrick Lamar,DNA.,1
Drake,Passionfruit,1
Travis Scott,Goosebumps,1
Luke Combs,Hurricane,1
P!nk,What About Us,1
Harry Styles,Sign Of The Times,1
Adele,Water Under The Bridge,1
Miley Cyrus,Malibu,1
Shawn Mendes,Treat You Better,1
XXXTENTACION,Look At Me!,1
